"Ind","Sex","Group","variable","value"
"3_9","f","White","Tib1",298
"3_10","f","White","Tib1",302
"3_11","f","White","Tib1",305
"3_12","f","White","Tib1",309
"3_13","f","White","Tib1",312
"3_14","f","White","Tib1",315
"3_15","f","White","Tib1",319
"3_16","f","White","Tib1",322
"3_17","f","White","Tib1",326
"3_18","f","White","Tib1",329
"3_19","f","White","Tib1",333
"3_20","f","White","Tib1",336
"3_21","f","White","Tib1",340
"3_22","f","White","Tib1",343
"3_23","f","White","Tib1",346
"3_24","f","White","Tib1",350
"3_25","f","White","Tib1",353
"3_26","f","White","Tib1",357
"3_27","f","White","Tib1",360
"3_28","f","White","Tib1",364
"3_29","f","White","Tib1",367
"3_30","f","White","Tib1",371
"3_31","f","White","Tib1",374
"3_32","f","White","Tib1",377
"3_33","f","White","Tib1",381
"3_34","f","White","Tib1",384
"3_35","f","White","Tib1",388
"3_36","f","White","Tib1",391
"3_37","f","White","Tib1",395
"3_38","f","White","Tib1",398
"3_39","f","White","Tib1",402
"3_40","f","White","Tib1",405
"3_41","f","White","Tib1",409
"3_42","f","White","Tib1",412
"3_43","f","White","Tib1",415
"3_44","f","White","Tib1",419
"3_45","f","White","Tib1",422
"4_1","f","Black","Tib1",275
"4_2","f","Black","Tib1",279
"4_3","f","Black","Tib1",283
"4_4","f","Black","Tib1",287
"4_5","f","Black","Tib1",291
"4_6","f","Black","Tib1",295
"4_7","f","Black","Tib1",299
"4_8","f","Black","Tib1",303
"4_9","f","Black","Tib1",308
"4_10","f","Black","Tib1",312
"4_11","f","Black","Tib1",316
"4_12","f","Black","Tib1",320
"4_13","f","Black","Tib1",324
"4_14","f","Black","Tib1",328
"4_15","f","Black","Tib1",332
"4_16","f","Black","Tib1",336
"4_17","f","Black","Tib1",340
"4_18","f","Black","Tib1",344
"4_19","f","Black","Tib1",348
"4_20","f","Black","Tib1",352
"4_21","f","Black","Tib1",357
"4_22","f","Black","Tib1",361
"4_23","f","Black","Tib1",365
"4_24","f","Black","Tib1",369
"4_25","f","Black","Tib1",373
"4_26","f","Black","Tib1",377
"4_27","f","Black","Tib1",381
"4_28","f","Black","Tib1",385
"4_29","f","Black","Tib1",389
"4_30","f","Black","Tib1",393
"4_31","f","Black","Tib1",397
"4_32","f","Black","Tib1",401
"4_33","f","Black","Tib1",406
"4_34","f","Black","Tib1",410
"4_35","f","Black","Tib1",414
"4_36","f","Black","Tib1",418
"4_37","f","Black","Tib1",422
"4_38","f","Black","Tib1",426
"4_39","f","Black","Tib1",430
"4_40","f","Black","Tib1",434
"4_41","f","Black","Tib1",438
"4_42","f","Black","Tib1",442
"4_43","f","Black","Tib1",446
"4_44","f","Black","Tib1",450
"4_45","f","Black","Tib1",454
"2_17","m","Black","Tib1",374
"2_18","m","Black","Tib1",379
"2_19","m","Black","Tib1",383
"2_20","m","Black","Tib1",388
"1_1","m","White","Uln1",211
"1_6","m","White","Uln1",224
"1_7","m","White","Uln1",227
"1_8","m","White","Uln1",230
"1_9","m","White","Uln1",232
"1_10","m","White","Uln1",235
"1_11","m","White","Uln1",238
"1_12","m","White","Uln1",240
"1_13","m","White","Uln1",243
"1_14","m","White","Uln1",246
"1_2","m","White","Uln1",213
"1_3","m","White","Uln1",216
"1_4","m","White","Uln1",219
"1_5","m","White","Uln1",222
"1_19","m","White","Uln1",259
"1_20","m","White","Uln1",262
"1_21","m","White","Uln1",265
"1_22","m","White","Uln1",267
"1_23","m","White","Uln1",270
"1_24","m","White","Uln1",273
"1_25","m","White","Uln1",276
"1_26","m","White","Uln1",278
"1_27","m","White","Uln1",281
"1_15","m","White","Uln1",249
"1_16","m","White","Uln1",251
"1_17","m","White","Uln1",254
"1_18","m","White","Uln1",257
"1_32","m","White","Uln1",294
"1_33","m","White","Uln1",297
"1_34","m","White","Uln1",300
"1_35","m","White","Uln1",303
"1_36","m","White","Uln1",305
"1_37","m","White","Uln1",308
"1_38","m","White","Uln1",311
"1_39","m","White","Uln1",313
"1_40","m","White","Uln1",316
"1_41","m","White","Uln1",319
"1_42","m","White","Uln1",321
"1_43","m","White","Uln1",324
"1_44","m","White","Uln1",327
"1_45","m","White","Uln1",330
"1_46","m","White","Uln1",332
"1_47","m","White","Uln1",335
"2_1","m","Black","Uln1",223
"2_2","m","Black","Uln1",226
"2_3","m","Black","Uln1",229
